category,welfareType,servId,servNm,region,agency,department,intrsThemaArray,lifeArray,srvPvsnNm,sprtCycNm,servDgst,servDtlLink,inqNum,contact
제도,지자체,WLF00002824,저소득주민 건강보험료 지원,부산광역시,부산광역시,부산광역시 금정구 문화복지국 생활보장과,서민금융,"중장년, 노년, 아동, 영유아, 청소년, 청년",감면,월,저소득주민의 국민건강보험료를 지원하여 구민의 건강생활 증진 및 국민건강보험료 미납 사유로 인한 의료사각지대를 최소화하고자 함.,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00002824&wlfareInfoReldBztpCd=02,2559,
제도,지자체,WLF00005882,"울진군 초 ,충, 고 학교우유급식 확대지원",경상북도,경상북도,경상북도 울진군 관광경제국 농정과,교육,"청소년, 아동",기타,월,학교우유급식을 통해 성장기 학생들에게 필요한 필수 영양소를 공급하여 고른 영양섭취를 통한 신체발달 및 건강 유지‧증진,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00005882&wlfareInfoReldBztpCd=02,460,
제도,지자체,WLF00005704,부산광역시교육청 방과후학교자유수강권 지원 사업,부산광역시,부산광역시,부산광역시교육청 행정국 재정과,"서민금융, 교육","청소년, 아동","현금지급, 감면",분기,o 저소득층자녀가 학업에 전념할 수 있는 안정적 교육환경 조성 o 저소득층 자녀에 대한 교육기회 균등 보장 및 교육격차 완화 o 지원 대상 범위 확대로 실질적 어려움을 겪고 있는 가정의 사교육비 경감 및 교육격차 해소,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00005704&wlfareInfoReldBztpCd=02,3904,
제도,지자체,WLF00005660,경기도 중고등학교 신입생 교복지원,경기도,경기도,경기도교육청 협력국 복지협력과,,청소년,현물지급,년,중고등학교 신입생 교복 지원,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00005660&wlfareInfoReldBztpCd=02,1199,
제도,지자체,WLF00005569,초등돌봄교실 과일간식 지원사업,충청북도,충청북도,충청북도 농정국 스마트농산과,,"청소년, 아동",기타,수시,"과일간식 지원을 통한 어린이 식습관 개선 등 건강 증진과 도내 생산 제철 과일 소비 및 저변 확대를 위한 신수요 창출 □ 아동 건강 ○ 아동·청소년 비만 유병률 지속적 증가 하는 상황, 비만의 주원인인 식생활의 불균형과 잘못된 식습관 개선 필요 □ 국내산 과일 소비 촉진 ○ 지역 생산 과일의 안정적 공급처 확보 및 과일간식 가공업체의 직접고용 확대 등 지역경제 활성화 기여 ○ 돌봄교실 이용 초등학생들에게 우수 지역 과일을 공급함으로써 미래 고객 확보",https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00005569&wlfareInfoReldBztpCd=02,1315,
제도,지자체,WLF00005547,청소년 꿈키움 바우처 지원사업,경상남도,경상남도,경상남도 거창군 행정국 인구교육과,,청소년,전자바우처(바우처),년,교육도시 거창의 위상에 맞는 청소년 수당 지급으로 거창의 미래자산인 청소년들의 역량강화와 건전한 여가문화를 지원하여 청소년이 행복하고 살기좋은 거창 조성,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00005547&wlfareInfoReldBztpCd=02,1039,
제도,지자체,WLF00005517,저소득층 및 다자녀가정 학생 졸업앨범비 지원,대구광역시,대구광역시,대구광역시교육청 행정국 교육복지과,교육,"아동, 청소년",현물지급,년,저소득층 가정 학생에 대한 지원을 통한 교육 격차 완화 및 정부의 출산 장려정책에 따라 다자녀가정 학생에 대한 교육비 지원 확대 필요,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00005517&wlfareInfoReldBztpCd=02,1403,
제도,지자체,WLF00005516,전체학생 비숙박형 현장체험학습비 지원,대구광역시,대구광역시,대구광역시교육청 행정국 교육복지과,서민금융,"청소년, 아동",감면,년,교육활동의 일부인 현장체험학습에 대한 수익자 부담 경비의 지원으로 교육의 공공성 강화 및 균등한 교육기회 보장,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00005516&wlfareInfoReldBztpCd=02,905,
제도,지자체,WLF00005515,저소득층 및 다자녀가정 학생 현장체험학습비 지원,대구광역시,대구광역시,대구광역시교육청 행정국 교육복지과,"서민금융, 교육","아동, 청소년",감면,년,"저소득층, 다자녀 가정의 교육비 부담 경감을 통한 교육 격차 완화 및 교육복지 이념 실현",https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00005515&wlfareInfoReldBztpCd=02,1024,
제도,지자체,WLF00005512,대구시교육청 방과후학교 자유수강권 지원,대구광역시,대구광역시,대구광역시교육청 행정국 교육복지과,"보호·돌봄, 교육, 서민금융, 주거","아동, 청소년",감면,년,저소득층 가정 학생 등에 대한 지속적이고 실질적인 지원을 통한 교육 기회 확대로 공교육 활성화 제고 및 계층 간 교육격차 완화,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00005512&wlfareInfoReldBztpCd=02,3456,
